puzzle_id,hf_row_index,answer,source_dataset,source_ref
10,10,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
13,13,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
14,14,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
36,36,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
45,45,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
52,52,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
87,87,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
89,89,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
132,132,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
138,138,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
145,145,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
147,147,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
157,157,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
188,188,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
198,198,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
199,199,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
202,202,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
217,217,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
238,238,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
246,246,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
251,251,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
280,280,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
356,356,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
377,377,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
388,388,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
389,389,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
395,395,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
405,405,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
419,419,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
438,438,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
442,442,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
446,446,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
452,452,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
470,470,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
518,518,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
531,531,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
533,533,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
568,568,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
570,570,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
593,593,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
617,617,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
