domain,model,puzzle_id,pass_type,correct,error,elapsed_s,group_scores,key_ngrams,min_conf,min1_conf,mean_conf,raw_response
ConnectionsPlus,Claude Opus 4.6,connp_018,un_augmented,1,,14.398748636245728,"[85, 95, 90, 95, 95, 85, 95, 100]","[[""geometry terms"", ""gives me 32 items total""], [""Las Vegas casinos"", ""fit that pattern"", ""LUXOR, EXCALIBUR, ENCORE, and ARIA""], [""monopolize or take selfishly"", ""HOG, BOGART, MONOPOLIZE, and CORNER all work here""], [""portmanteau words"", ""blends of two words"", ""all fit that pattern""], [""monopolize or take selfishly"", ""HOG, BOGART, MONOPOLIZE, and CORNER""], [""gear parts"", ""gives me 32 items total""], [""black and white!"", ""OREO, ORCA, DOMINO, and CROSSWORD"", ""solid category""], [""work perfectly"", ""all pair with BULL"", ""BULLHORN, BULLDOG, BULLFROG, and BULLDOZE""]]",85.0,85.0,92.5,
ConnectionsPlus,Claude Opus 4.6,connp_009,un_augmented,1,,14.613990306854248,"[85, 82, 65, 90, 95, 88, 85, 95]","[[""Latin expressions"", ""Latin words themselves"", ""AB, PRO, SUB, and SINE""], [""caveat/catch synonyms"", ""asterisk typically signals fine print"", ""STRINGS, CONDITION, ASTERISK, CATCH""], [""reconsidering whether TRIANGLE belongs with percussion"", ""DRUM, BELL, TRIANGLE, RATTLE""], [""riddle-related characters"", ""MAD HATTER, RIDDLER, SPHINX, and BRIDGE TROLL""], [""Julius Caesar connection"", ""I, CAME, SAW, CONQUERED"", ""that's a major clue""], [""Washington DC angle"", ""CAPITOL, MALL, OBELISK, POOL"", ""reflecting pool""], [""resolving debts"", ""PAY UP, CLEAR UP, SETTLE UP, and SQUARE UP"", ""promising""], [""four green characters"", ""SHREK, GRINCH, HULK, and ELPHABA""]]",65.0,82.0,85.625,
ConnectionsPlus,Claude Opus 4.6,connp_022,un_augmented,1,,14.653481006622314,"[85, 90, 85, 85, 95, 80, 95, 95]","[[""terms of endearment"", ""reconsidering some of these words""], [""things you can't undo"", ""can't un-ring a bell"", ""can't put the genie back"", ""can't unscramble an egg""], [""Large venues"", ""make up another group""], [""car fluids"", ""form their own category""], [""deception-related words"", ""forming one group"", ""deception words""], [""modern, trendy things"", ""all represent""], [""hesitate or fluctuate"", ""all capture that sense"", ""hesitate like WAFFLE and WAVER""], [""mental faculties category"", ""complete the phrase"", ""lose your ___""]]",80.0,85.0,88.75,
ConnectionsPlus,Claude Opus 4.6,connp_014,un_augmented,1,,15.06290316581726,"[85, 90, 95, 95, 95, 75, 95, 90]","[[""fit that"", ""reverse or back down"", ""reverse position moves""], [""biological kingdoms"", ""solid categories""], [""graduated measurement markings"", ""keep it with the tools"", ""belong in a science classroom""], [""penguin species"", ""clear groupings""], [""interesting with the E- prefix"", ""can all be preceded by \""E-\""""], [""things that spin or move with wind"", ""potential yard items"", ""need to figure out how these final eight words split""], [""forcing something into a tight space"", ""working together"", ""cram or force""], [""title words from classic children's TV shows"", ""noticing some patterns"", ""now I'm seeing it""]]",75.0,85.0,90.0,
ConnectionsPlus,Claude Opus 4.6,connp_016,un_augmented,1,,16.473001956939697,"[85, 95, 95, 95, 80, 85, 85, 95]","[[""glowing or luminescent things"", ""FIREFLY"", ""GLOWSTICK"", ""AURORA"", ""RADIUM""], [""APPLE SAUCE, APPLE CIDER, APPLE BUTTER, and APPLE BRANDY"", ""compounds""], [""Dutch cultural icons"", ""TULIP"", ""CANAL"", ""WINDMILL"", ""CLOG"", ""quintessentially associated""], [""synonyms for a business"", ""FIRM, CONCERN, OUTFIT, HOUSE"", ""work perfectly""], [""slimy creatures"", ""EEL, SLUG, EARTHWORM, and SALAMANDER""], [""second part means descend or fall"", ""RAINDROP, SKYDIVE, WATERFALL, and GATECRASH""], [""European country prefixes"", ""PORT, MALT, GERM, and LUXE"", ""PORTUGAL, MALTA, GERMANY, and LUXEMBOURG""], [""words meaning sturdy or stocky"", ""STOUT, SQUAT, THICK, SOLID"", ""solid grouping""]]",80.0,85.0,89.375,
ConnectionsPlus,Claude Opus 4.6,connp_012,un_augmented,1,,18.29659056663513,"[85, 95, 75, 80, 75, 90, 85, 95]","[[""they're all the first part of Major League Baseball team names"", ""CARD, JAY, A, and YANK"", ""struggling to connect""], [""VILE, MEAN, LOW, and BASE all mean \""despicable\"""", ""synonyms for despicable"", ""explain why BASE works here""], [""BOW, ROW, SOW, and WIND are all words with two different pronunciations"", ""heteronyms"", ""could be a category on its own""], [""VOW, RING, CAKE, and KISS are all things associated with weddings"", ""wedding-related words seem to fit""], [""DRAG, DAIRY, DANCING, MAY"", ""___ QUEEN"", ""settle on my best guess""], [""FOOD TRUCK!"", ""That's perfect"", ""TOW, FIRE, DUMP, and FOOD"", ""That's a complete group right there""], [""FROZEN, FAST, FIRM, and TIGHT"", ""fixed or secure"", ""everything checks out""], [""MAKE, FORM, MOLD, and PRODUCE"", ""synonyms meaning \""to create or shape something\"""", ""solid""]]",75.0,75.0,85.0,
ConnectionsPlus,Claude Opus 4.6,connp_013,un_augmented,1,,18.47009515762329,"[70, 95, 85, 90, 80, 75, 95, 90]","[[""SMALL talk, BABY talk, SWEET talk, TOUGH talk"", ""five options"", ""one of these has to fit elsewhere"", ""looks complete""], [""Portmanteau words"", ""blends of two words"", ""clean pattern""], [""monopolize or hoard"", ""connects it to"", ""meaning to monopolize""], [""COG is a gear component"", ""parts of a gear mechanism"", ""gear parts""], [""describe difficult or complicated circumstances"", ""STICKY, DELICATE, COMPLEX, TOUGH"", ""theme isn't about the word \""situation\""""], [""synonyms for \""what's happening\"""", ""What's the ___?"", ""different ways of asking what's going on""], [""BULLFROG, BULLDOG, BULLHORN, and BULLDOZE all work!"", ""That's the pattern I need""], [""board games"", ""SORRY, MOUSE TRAP, OPERATION, MASTERMIND"", ""clean pattern""]]",70.0,75.0,85.0,
ConnectionsPlus,Claude Opus 4.6,connp_025,un_augmented,1,,8.432210206985474,"[85, 90, 95, 45, 85, 100, 100, 100]","[[""TRI- pattern"", ""promising"", ""TRI + ___ = word""], [""___ CAMP phrases"", ""solid group of four"", ""SUMMER shifts away""], [""geographic landforms"", ""BLUFF, SPIT, POINT, and CAPE"", ""form their own category""], [""school-related connections"", ""emerging""], [""concealing or protecting"", ""COVER, MASK, SCREEN, and SHIELD"", ""work as things""], [""Let sleeping dogs lie"", ""classic proverb"", ""final four words""], [""Japanese origins"", ""fit that category perfectly""], [""Skiing-related terms"", ""clear group"", ""yes!""]]",45.0,85.0,87.5,
ConnectionsPlus,Claude Opus 4.6,connp_034,un_augmented,1,,8.72698974609375,"[85, 95, 100, 95, 100, 90, 85, 95]","[[""must form their own category"", ""hidden caveat or restriction"", ""there's a catch"", ""no strings attached"", ""with an asterisk""], [""Thunder-related sounds"", ""all words that follow \""thunder\""""], [""Characters who pose riddles"", ""riddle-posers in fiction"", ""all famously"", ""these all fit""], [""Washington DC landmarks"", ""all iconic features of the National Mall""], [""Green fictional characters"", ""all famously green""], [""types of puppets"", ""SOCK, HAND, SHADOW, STRING""], [""Standing ___"", ""all work perfectly here"", ""standing ovation, standing orders, standing joke, standing room"", ""That's solid""], [""synonyms for progression points"", ""all work as"", ""PHASE, STAGE, LEVEL, and ROUND""]]",85.0,85.0,93.125,
ConnectionsPlus,Claude Opus 4.6,connp_036,un_augmented,1,,6.667301416397095,"[85, 85, 70, 95, 90, 80, 85, 80]","[[""venues"", ""clearly event spaces"", ""verify that all the categories check out""], [""Car fluids"", ""form another clear group"", ""possibly FUEL""], [""CIDER, SAUCE, BUTTER seem solid"", ""If APPLE BRANDY is a real thing"", ""then APPLE CIDER, APPLE SAUCE, APPLE BUTTER, and APPLE BRANDY could form their own category""], [""deception words right away"", ""all work together"", ""DECEIT, SUBTERFUGE, LEGERDEMAIN, CHICANERY""], [""can all mean a business or company"", ""business synonyms like FIRM and OUTFIT""], [""CRYPTO, VAPE, PODCAST, and SMARTWATCH might share something"", ""modern, 21st-century phenomena""], [""fragments that complete European country names"", ""Germany, Portugal, Malta, and Luxembourg"", ""I'm realizing these could be""], [""describe something robust"", ""describe something sturdy or stocky"", ""STOUT is also a beer""]]",70.0,80.0,83.75,
