puzzle_id,answer,source,year_month
AIME-2026-1,277,AIME,2026-02
AIME-2026-12,161,AIME,2026-02
AIME-2026-15,83,AIME,2026-02
AIME-2026-20,190,AIME,2026-02
AIME-2026-25,850,AIME,2026-02
AIME-2026-28,107,AIME,2026-02
AIME-2026-5,65,AIME,2026-02
HMMT-2025-Nov-1,3,HMMT,2025-11
HMMT-2025-Nov-10,372,HMMT,2025-11
HMMT-2025-Nov-12,5,HMMT,2025-11
HMMT-2025-Nov-13,36,HMMT,2025-11
HMMT-2025-Nov-15,495,HMMT,2025-11
HMMT-2025-Nov-16,5\pi + 6\sqrt{3},HMMT,2025-11
HMMT-2025-Nov-18,8.5,HMMT,2025-11
HMMT-2025-Nov-19,91/6,HMMT,2025-11
HMMT-2025-Nov-2,12,HMMT,2025-11
HMMT-2025-Nov-21,238,HMMT,2025-11
HMMT-2025-Nov-22,855,HMMT,2025-11
HMMT-2025-Nov-24,3069,HMMT,2025-11
HMMT-2025-Nov-25,175,HMMT,2025-11
HMMT-2025-Nov-26,96-10\sqrt{21},HMMT,2025-11
HMMT-2025-Nov-28,254,HMMT,2025-11
HMMT-2025-Nov-3,1296,HMMT,2025-11
HMMT-2025-Nov-30,\frac{3\sqrt{5}}{7},HMMT,2025-11
HMMT-2025-Nov-5,21,HMMT,2025-11
HMMT-2025-Nov-6,81920,HMMT,2025-11
HMMT-2025-Nov-7,1305,HMMT,2025-11
HMMT-2025-Nov-9,1/91,HMMT,2025-11
HMMT-2026-Feb-1,-\frac{1}{21},HMMT,2026-02
HMMT-2026-Feb-10,289,HMMT,2026-02
HMMT-2026-Feb-12,\frac{875}{128},HMMT,2026-02
HMMT-2026-Feb-14,\frac{63}{256},HMMT,2026-02
HMMT-2026-Feb-15,252,HMMT,2026-02
HMMT-2026-Feb-16,2 - \frac{\pi}{2},HMMT,2026-02
HMMT-2026-Feb-18,6992,HMMT,2026-02
HMMT-2026-Feb-2,420261,HMMT,2026-02
HMMT-2026-Feb-20,20460,HMMT,2026-02
HMMT-2026-Feb-21,18,HMMT,2026-02
HMMT-2026-Feb-23,5\sqrt{5},HMMT,2026-02
HMMT-2026-Feb-25,8\sqrt{6},HMMT,2026-02
HMMT-2026-Feb-26,\sqrt{17} - 1,HMMT,2026-02
HMMT-2026-Feb-27,74^\circ,HMMT,2026-02
HMMT-2026-Feb-29,3 + \sqrt{11},HMMT,2026-02
HMMT-2026-Feb-3,48,HMMT,2026-02
HMMT-2026-Feb-30,\frac{\sqrt{1740}}{3},HMMT,2026-02
HMMT-2026-Feb-32,10,HMMT,2026-02
HMMT-2026-Feb-5,1230,HMMT,2026-02
HMMT-2026-Feb-6,3840,HMMT,2026-02
HMMT-2026-Feb-8,279,HMMT,2026-02
HMMT-2026-Feb-9,50(1 - \frac{1}{2^{101} - 1}),HMMT,2026-02
