model,domain,puzzle_id,pass_type,correct,chosen_answer,self_reported_conf,candidate,judge_confidence,judge_ngrams,is_chosen
Claude Sonnet 4.6,VP,1117,augmented,1,C,62.0,A,10.0,"[""A man working in a warehouse""]",0
Claude Sonnet 4.6,VP,1117,augmented,1,C,62.0,B,40.0,"[""shows multiple lemurs together rather than the solitary foraging behavior""]",0
Claude Sonnet 4.6,VP,1117,augmented,1,C,62.0,C,95.0,"[""C matches this perfectly"", ""The answer is C""]",1
Claude Sonnet 4.6,VP,1117,augmented,1,C,62.0,D,10.0,"[""An elderly man with a walking stick""]",0
Claude Sonnet 4.6,VP,217,augmented,1,D,82.0,A,,[],0
Claude Sonnet 4.6,VP,217,augmented,1,D,82.0,B,,[],0
Claude Sonnet 4.6,VP,217,augmented,1,D,82.0,C,,[],0
Claude Sonnet 4.6,VP,217,augmented,1,D,82.0,D,95.0,"[""D stands out as the answer"", ""matching the shift"", ""that we see in the farming analogy""]",1
Claude Sonnet 4.6,VP,912,augmented,1,A,62.0,A,90.0,"[""Option A fits this best"", ""The answer is A""]",1
Claude Sonnet 4.6,VP,912,augmented,1,A,62.0,B,10.0,"[""not a chimp""]",0
Claude Sonnet 4.6,VP,912,augmented,1,A,62.0,C,10.0,"[""not a chimp""]",0
Claude Sonnet 4.6,VP,912,augmented,1,A,62.0,D,30.0,"[""rather than a natural photo""]",0
Claude Sonnet 4.6,VP,1192,augmented,1,A,82.0,A,95.0,"[""fits this relationship perfectly"", ""maintains the animal and ground-level feeding activity"", ""Applying this pattern to Origin'""]",1
Claude Sonnet 4.6,VP,1192,augmented,1,A,82.0,B,,[],0
Claude Sonnet 4.6,VP,1192,augmented,1,A,82.0,C,,[],0
Claude Sonnet 4.6,VP,1192,augmented,1,A,82.0,D,,[],0
Claude Sonnet 4.6,VP,570,augmented,0,D,42.0,A,45.0,"[""A shows a dog near a red fire hydrant""]",0
Claude Sonnet 4.6,VP,570,augmented,0,D,42.0,B,40.0,"[""B shows military/soldiers in formation"", ""going back and forth between"", ""B with soldiers in formation""]",0
Claude Sonnet 4.6,VP,570,augmented,0,D,42.0,C,85.0,"[""I think C works best"", ""directly parallels"", ""satisfies the relationship shown""]",0
Claude Sonnet 4.6,VP,570,augmented,0,D,42.0,D,55.0,"[""match candidate D better than the soldiers"", ""D with a standing sentinel"", ""going back and forth between""]",1
Claude Sonnet 4.6,VP,925,augmented,1,D,99.0,A,10.0,"[""doesn't match""]",0
Claude Sonnet 4.6,VP,925,augmented,1,D,99.0,B,10.0,"[""doesn't match""]",0
Claude Sonnet 4.6,VP,925,augmented,1,D,99.0,C,10.0,"[""doesn't match""]",0
Claude Sonnet 4.6,VP,925,augmented,1,D,99.0,D,100.0,"[""this matches!"", ""That's the answer""]",1
Claude Sonnet 4.6,VP,1087,augmented,1,D,72.0,A,41.0,"[""Looking at the options""]",0
Claude Sonnet 4.6,VP,1087,augmented,1,D,72.0,B,41.0,"[""Looking at the options""]",0
Claude Sonnet 4.6,VP,1087,augmented,1,D,72.0,C,41.0,"[""Looking at the options""]",0
Claude Sonnet 4.6,VP,1087,augmented,1,D,72.0,D,85.0,"[""D shows a white rabbit sitting upright"", ""matches the pattern"", ""same action translates from human to animal""]",1
Claude Sonnet 4.6,VP,878,augmented,0,B,78.0,A,30.0,"[""The other choices are either ambient outdoor lighting or actual fires"", ""don't fit""]",0
Claude Sonnet 4.6,VP,878,augmented,0,B,78.0,B,95.0,"[""B stands out as the only one"", ""mirrors how the volcanic eruption maps"", ""B is the answer"", ""it's the artistic light painting equivalent""]",1
Claude Sonnet 4.6,VP,878,augmented,0,B,78.0,C,30.0,"[""The other choices are either ambient outdoor lighting or actual fires"", ""don't fit""]",0
Claude Sonnet 4.6,VP,878,augmented,0,B,78.0,D,30.0,"[""The other choices are either ambient outdoor lighting or actual fires"", ""don't fit""]",0
Claude Sonnet 4.6,VP,779,augmented,1,B,82.0,A,,[],0
Claude Sonnet 4.6,VP,779,augmented,1,B,82.0,B,90.0,"[""option (b) fits this pattern best"", ""clean, complete version just like the full circle"", ""the answer should be (b)""]",1
Claude Sonnet 4.6,VP,779,augmented,1,B,82.0,C,45.0,"[""(c) has a vertical line through it"", ""diamond in option (c) has a vertical dividing line""]",0
Claude Sonnet 4.6,VP,779,augmented,1,B,82.0,D,40.0,"[""let me reconsider option (d)"", ""could represent \""doubling\"" the triangle""]",0
Claude Sonnet 4.6,VP,389,augmented,1,D,95.0,A,,[],0
Claude Sonnet 4.6,VP,389,augmented,1,D,95.0,B,,[],0
Claude Sonnet 4.6,VP,389,augmented,1,D,95.0,C,,[],0
Claude Sonnet 4.6,VP,389,augmented,1,D,95.0,D,95.0,"[""The answer is D"", ""I'm quite confident in this conclusion"", ""Analogy' should show an apple being cut""]",1
Claude Sonnet 4.6,VP,280,augmented,1,C,97.0,A,,[],0
