puzzle_id,answer,publisher,sub_publisher,date,orientation,clue_number,source_dataset
cc_001,FEATHER,Times,The Times,2000-10-16,across,10,Cryptonite (Efrat et al. 2021)
cc_002,ZEPHYR,Times,The Times,2001-05-28,across,23,Cryptonite (Efrat et al. 2021)
cc_003,ANIMATED,Times,The Times,2001-11-27,across,25,Cryptonite (Efrat et al. 2021)
cc_004,HALLOWED,Times,The Sunday Times,2002-02-10,across,9,Cryptonite (Efrat et al. 2021)
cc_005,SKIN GAME,Times,The Sunday Times,2002-05-05,across,1,Cryptonite (Efrat et al. 2021)
cc_006,SET UP,Telegraph,,2002-07-29,across,19,Cryptonite (Efrat et al. 2021)
cc_007,TRIBALISM,Times,The Times,2002-10-16,down,14,Cryptonite (Efrat et al. 2021)
cc_008,THEATRE,Times,The Times,2003-01-06,down,20,Cryptonite (Efrat et al. 2021)
cc_009,OFFENDERS,Telegraph,,2003-03-31,down,18,Cryptonite (Efrat et al. 2021)
cc_010,YAHOO,Times,The Times,2003-06-20,across,11,Cryptonite (Efrat et al. 2021)
cc_011,AVON,Telegraph,,2003-09-12,across,18,Cryptonite (Efrat et al. 2021)
cc_012,DEED,Times,The Times,2003-12-11,across,27,Cryptonite (Efrat et al. 2021)
cc_013,STATION,Times,The Times,2004-02-28,across,15,Cryptonite (Efrat et al. 2021)
cc_014,ENOSIS,Times,The Times,2004-05-01,down,25,Cryptonite (Efrat et al. 2021)
cc_015,MEDIUM,Telegraph,,2004-07-13,across,11,Cryptonite (Efrat et al. 2021)
cc_016,CATENA,Telegraph,,2004-09-25,down,3,Cryptonite (Efrat et al. 2021)
cc_017,DOSSERS,Telegraph,,2004-12-09,across,23,Cryptonite (Efrat et al. 2021)
cc_018,HARDLINER,Telegraph,,2005-03-05,across,13,Cryptonite (Efrat et al. 2021)
cc_019,BARONET,Times,The Times,2005-05-14,down,20,Cryptonite (Efrat et al. 2021)
cc_020,ARDEN,Telegraph,,2005-07-22,across,10,Cryptonite (Efrat et al. 2021)
cc_021,ADEPT,Telegraph,,2005-09-27,down,3,Cryptonite (Efrat et al. 2021)
cc_022,AT A PINCH,Times,The Times,2005-12-07,down,16,Cryptonite (Efrat et al. 2021)
cc_023,NEREIDS,Times,The Sunday Times,2006-02-26,across,14,Cryptonite (Efrat et al. 2021)
cc_024,POWDERY,Times,The Times,2006-05-10,across,9,Cryptonite (Efrat et al. 2021)
cc_025,REVIVE,Times,The Times,2006-07-15,down,9,Cryptonite (Efrat et al. 2021)
cc_026,PERCOLATOR,Times,The Sunday Times,2006-09-24,across,9,Cryptonite (Efrat et al. 2021)
cc_027,ANIMATED,Telegraph,,2006-11-27,across,4,Cryptonite (Efrat et al. 2021)
cc_028,DOWNFALL,Telegraph,,2007-02-08,across,25,Cryptonite (Efrat et al. 2021)
cc_029,HAITI,Times,The Times,2007-04-12,across,21,Cryptonite (Efrat et al. 2021)
cc_030,RECONFIRM,Times,The Times,2007-06-20,across,13,Cryptonite (Efrat et al. 2021)
cc_031,OUTLINES,Times,The Times,2007-08-31,down,4,Cryptonite (Efrat et al. 2021)
cc_032,METIER,Times,The Times,2007-11-10,across,23,Cryptonite (Efrat et al. 2021)
cc_033,FUMES,Times,The Times,2008-01-24,across,27,Cryptonite (Efrat et al. 2021)
cc_034,AIM,Times,The Times,2008-04-08,across,8,Cryptonite (Efrat et al. 2021)
cc_035,IRIS,Telegraph,,2008-06-24,across,24,Cryptonite (Efrat et al. 2021)
cc_036,IMPROBABLY,Times,The Times,2008-09-01,across,24,Cryptonite (Efrat et al. 2021)
cc_037,TEA TRAY,Times,The Times,2008-11-11,across,20,Cryptonite (Efrat et al. 2021)
cc_038,REGALLY,Telegraph,,2009-01-26,across,12,Cryptonite (Efrat et al. 2021)
cc_039,WHITECHAPEL,Times,The Times,2009-04-04,across,17,Cryptonite (Efrat et al. 2021)
cc_040,TERRACE,Telegraph,,2009-06-08,across,24,Cryptonite (Efrat et al. 2021)
cc_041,MAGENTA,Times,The Times,2009-08-19,across,9,Cryptonite (Efrat et al. 2021)
cc_042,THURSDAY,Telegraph,,2009-10-25,across,23,Cryptonite (Efrat et al. 2021)
cc_043,SCRAPE,Times,,2010-01-01,across,35,Cryptonite (Efrat et al. 2021)
cc_044,ERASURE,Times,The Times,2010-03-03,down,6,Cryptonite (Efrat et al. 2021)
cc_045,BACK DOOR,Telegraph,,2010-05-10,across,18,Cryptonite (Efrat et al. 2021)
cc_046,PIMPLED,Times,,2010-07-16,down,6,Cryptonite (Efrat et al. 2021)
cc_047,HARARE,Times,,2010-09-25,down,6,Cryptonite (Efrat et al. 2021)
cc_048,INLET,Telegraph,,2010-12-07,down,24,Cryptonite (Efrat et al. 2021)
cc_049,SHAHS,Telegraph,,2011-02-21,across,11,Cryptonite (Efrat et al. 2021)
cc_050,ESCORTED,Times,The Times,2011-04-29,across,5,Cryptonite (Efrat et al. 2021)
cc_051,EYESHADOW,Telegraph,,2011-07-02,down,3,Cryptonite (Efrat et al. 2021)
cc_052,SODA,Telegraph,,2011-09-10,across,29,Cryptonite (Efrat et al. 2021)
cc_053,COME BY,Telegraph,,2011-11-18,across,1,Cryptonite (Efrat et al. 2021)
cc_054,JOE BLOGGS,Telegraph,,2012-01-24,across,13,Cryptonite (Efrat et al. 2021)
cc_055,EASED,Times,The Times,2012-03-31,down,4,Cryptonite (Efrat et al. 2021)
cc_056,EVANGELIST,Telegraph,,2012-06-06,across,1,Cryptonite (Efrat et al. 2021)
cc_057,GESTATION,Telegraph,,2012-08-12,down,14,Cryptonite (Efrat et al. 2021)
cc_058,BEANSTALKS,Telegraph,,2012-10-13,down,13,Cryptonite (Efrat et al. 2021)
