model,domain,puzzle_id,correct,chosen_answer,candidate,judge_confidence,judge_ngrams,regex_score,is_chosen
GPT-5,Rebus,1_6,1,downtown,downtown,95.0,"[""likely represents \""downtown\"""", ""is the best fit"", ""clearly suggests \""downtown\"""", ""clearly represents"", ""precisely""]",0.2004310344827586,1
GPT-5,Rebus,1_6,1,downtown,town when read top to bottom,85.0,"[""spell TOWN when read top to bottom"", ""vertical format implies"", ""vertical orientation clearly suggests"", ""clearly represents""]",0.0,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,for once in my life,30.0,"[""considered the common phrase"", ""don't see any letter"", ""represent 'for'""]",0.0,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,once in my life,95.0,"[""comes to mind almost immediately"", ""most likely and elegant solution"", ""Yep"", ""all constraints satisfied""]",-0.4902502157031924,1
Gemini 3 Flash,Rebus,1_1,0,once in my life,m1y,50.0,"[""looks like \""MY\"" with a \""1\"" embedded"", ""can be read as \""1 in MY\""""]",-1.1411561691113028,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,l1i1f1e,50.0,"[""seems like \""LIFE\"" with \""1\""s sprinkled"", ""could be the 1s in the word \""LIFE\""""]",-1.230543572044866,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,1 in life,45.0,"[""like \""1 in LIFE\""""]",-1.2993960310612596,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,once in a lifetime,15.0,"[""quickly eliminate"", ""not 'LIFETIME'""]",-1.3634167385677307,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,once in my,45.0,"[""could be read as \""once in my\""""]",-1.6978429680759275,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,my,40.0,"[""looks like \""MY\"""", ""1 in MY""]",-2.8849007765314925,0
Gemini 3 Flash,Rebus,1_1,0,once in my life,life,40.0,"[""uses 'LIFE'"", ""word \""LIFE\""""]",-6.595427092320966,0
